,Comedian,Score
0,Ali_Wong,0.373795747756958
1,Ali_Wong_2,0.339207261800766
2,Ali_Wong_3,0.3525339365005493
3,Anthony_Jeselnik,0.3821900188922882
4,Anthony_Jeselnik_2,0.39219996333122253
5,Anthony_Jeselnik_3,0.42026156187057495
6,Chelsea_Peretti,0.38118669390678406
7,Chelsea_Peretti_2,0.35183602571487427
8,Chelsea_Peretti_3,0.28863900899887085
9,Donald_Glover,0.3835086226463318
10,Donald_Glover_2,0.3152744472026825
11,Donald_Glover_3,0.41756266355514526
12,Hasan_Minhaj,0.37114694714546204
13,Hasan_Minhaj_2,0.3065853416919708
14,Hasan_Minhaj_3,0.41888415813446045
15,Iliza_Shlesinger,0.5175597667694092
16,Iliza_Shlesinger_2,0.32630816102027893
17,Iliza_Shlesinger_3,0.33027803897857666
18,Jim_Gaffigan,0.3562098741531372
19,Jim_Gaffigan_2,0.31832483410835266
20,Jim_Gaffigan_3,0.2939949333667755
21,Jimmy_Yang,0.3753095865249634
22,Jimmy_Yang_2,0.38440588116645813
23,Jimmy_Yang_3,0.32931455969810486
24,Joe_List,0.3593437671661377
25,Joe_List_2,0.4213848114013672
26,Joe_List_3,0.32858413457870483
27,John_Mulaney,0.4248194396495819
28,John_Mulaney_2,0.2664691209793091
29,John_Mulaney_3,0.3965144753456116
30,Louis_CK,0.2576028108596802
31,Louis_CK_2,0.35003775358200073
32,Louis_CK_3,0.46337997913360596
33,Nate_Bargatze,0.3013480603694916
34,Nate_Bargatze_2,0.4045337736606598
35,Nate_Bargatze_3,0.3351992964744568
36,Nate_Bargatze_TK,0.3586990535259247
37,Nate_Bargatze_TK_2,0.34832197427749634
38,Nate_Bargatze_TK_3,0.41991665959358215
39,Russell_Peters,0.445534348487854
40,Russell_Peters_2,0.3761049509048462
41,Russell_Peters_3,0.31955385208129883
42,Sam_Morill_3,0.2685263156890869
43,Sam_Morril,0.37964928150177
44,Sam_Morril_2,0.38176655769348145
45,Tom_Segura,0.28798162937164307
46,Tom_Segura_2,0.34093770384788513
47,Tom_Segura_3,0.4260551929473877
48,Trevor_Noah,0.5690174698829651
49,Trevor_Noah_2,0.287763774394989
50,Trevor_Noah_3,0.4127904176712036
