comedian,sentence,gemma,gemma2,llama,phi,chatgpt,claude,deepseek
Joe_List,"So I went to the ear, nose, throat doctor, which is a cool doctor.",0,0,0,1,0,0,0
Joe_List,It's one doctor.,0,1,0,1,0,0,1
Joe_List,He knows all three body parts.,0,1,0,1,0,0,1
Joe_List,"I was hoping it was three doctors saving money, by sharing a small office.",1,0,1,1,1,1,1
Joe_List,"He's like, ""I'm Bill, this is Susan, and Ted. Ear, nose, throat. Who do ya need?""",0,1,1,0,1,1,1
Joe_List,And they all kinda.,0,1,0,0,1,0,0
Joe_List,"I went for my ear, I have an ear issue called, , tinnitus, or tin-uh-dus.",0,0,0,1,0,0,1
Joe_List,That's when you're ears ring.,0,0,1,1,0,0,1
Joe_List,You got it?,0,0,1,0,0,0,1
Joe_List,"Yeah, it's frustrating.",0,0,1,0,0,0,1
Joe_List,"It's when you're ears ring, or buzz all the time.",0,0,1,0,0,0,1
Joe_List,I don't know how you say it.,0,0,0,0,0,0,0
Joe_List,"I thought it was called tinnitus, but then I watched a YouTube video, and the doctor in the video, he kept saying ""tin-uh-dus.""",0,1,0,0,1,0,1
Joe_List,"And so I was like, ""Oh, I guess it's pronounced tin-uh-dus.""",1,0,0,0,1,0,1
Joe_List,"But then I went to the comments section, and the first comment said, ""This guy's a fake ass fucking retard doctor. It's pronounced t-ah-n-i-tus.""",0,1,0,0,1,1,1
Joe_List,All caps.,0,0,0,0,1,0,1
Joe_List,"And then I was like, ""Shit, now I don't know how to say this word.""",0,0,0,0,0,0,0
Joe_List,"This gentlemen is a doctor, he seems very smart.",0,0,0,0,1,1,1
Joe_List,"This fella seems, less smart, but, extremely adamant about the pronunciation of this word.",0,0,0,0,1,1,1
Joe_List,"Tomato, to-mah-to.",0,0,1,0,1,0,0
Joe_List,However you say it.,0,0,1,0,1,0,0
Joe_List,"If you have it, don't go to the doctor, they don't do shit.",0,0,0,0,1,1,0
Joe_List,"I went to the doctor I was like ""Doc, I have uh, tinnitus, or tin-uh-dus.",0,0,0,0,1,0,0
