,Comedian,Score
0,Ali_Wong,0.3203922510147095
1,Ali_Wong_2,0.33764249086380005
2,Ali_Wong_3,0.37938860058784485
3,Anthony_Jeselnik,0.3194951117038727
4,Anthony_Jeselnik_2,0.2586084008216858
5,Anthony_Jeselnik_3,0.28063300251960754
6,Chelsea_Peretti,0.2726966142654419
7,Chelsea_Peretti_2,0.254570335149765
8,Chelsea_Peretti_3,0.3638093173503876
9,Donald_Glover,0.3003559410572052
10,Donald_Glover_2,0.28671613335609436
11,Donald_Glover_3,0.4453757703304291
12,Hasan_Minhaj,0.2861488163471222
13,Hasan_Minhaj_2,0.23677420616149902
14,Hasan_Minhaj_3,0.3974044919013977
15,Iliza_Shlesinger,0.375569611787796
16,Iliza_Shlesinger_2,0.3098028898239136
17,Iliza_Shlesinger_3,0.32459211349487305
18,Jim_Gaffigan,0.3295597732067108
19,Jim_Gaffigan_2,0.2826743721961975
20,Jim_Gaffigan_3,0.36576569080352783
21,Jimmy_Yang,0.3456069529056549
22,Jimmy_Yang_2,0.3438188433647156
23,Jimmy_Yang_3,0.3123454451560974
24,Joe_List,0.3327135443687439
25,Joe_List_2,0.4211388826370239
26,Joe_List_3,0.4441564977169037
27,John_Mulaney,0.31732499599456787
28,John_Mulaney_2,0.34464502334594727
29,John_Mulaney_3,0.4222109019756317
30,Louis_CK,0.3180268406867981
31,Louis_CK_2,0.31019896268844604
32,Louis_CK_3,0.35713911056518555
33,Nate_Bargatze,0.37743479013442993
34,Nate_Bargatze_2,0.3640210032463074
35,Nate_Bargatze_3,0.39274898171424866
36,Nate_Bargatze_TK,0.3231862485408783
37,Nate_Bargatze_TK_2,0.20197796821594238
38,Nate_Bargatze_TK_3,0.4249500632286072
39,Russell_Peters,0.3749907314777374
40,Russell_Peters_2,0.390326589345932
41,Russell_Peters_3,0.3216659426689148
42,Sam_Morill_3,0.3477213978767395
43,Sam_Morril,0.2982529401779175
44,Sam_Morril_2,0.28867894411087036
45,Tom_Segura,0.3172263503074646
46,Tom_Segura_2,0.34430450201034546
47,Tom_Segura_3,0.39755481481552124
48,Trevor_Noah,0.36294546723365784
49,Trevor_Noah_2,0.27021050453186035
50,Trevor_Noah_3,0.3649081587791443
