,Comedian,Score
0,Ali_Wong,0.2948339283466339
1,Ali_Wong_2,0.364881694316864
2,Ali_Wong_3,0.20117723941802979
3,Anthony_Jeselnik,0.4418365955352783
4,Anthony_Jeselnik_2,0.35813719034194946
5,Anthony_Jeselnik_3,0.39668601751327515
6,Chelsea_Peretti,0.34906795620918274
7,Chelsea_Peretti_2,0.411807119846344
8,Chelsea_Peretti_3,0.34695276618003845
9,Donald_Glover,0.2596835196018219
10,Donald_Glover_2,0.33601629734039307
11,Donald_Glover_3,0.27025896310806274
12,Hasan_Minhaj,0.20790675282478333
13,Hasan_Minhaj_2,0.2795710265636444
14,Hasan_Minhaj_3,0.37353527545928955
15,Iliza_Shlesinger,0.4164363741874695
16,Iliza_Shlesinger_2,0.37583866715431213
17,Iliza_Shlesinger_3,0.3743664622306824
18,Jim_Gaffigan,0.46634674072265625
19,Jim_Gaffigan_2,0.4203738272190094
20,Jim_Gaffigan_3,0.48828715085983276
21,Jimmy_Yang,0.38897353410720825
22,Jimmy_Yang_2,0.4141421318054199
23,Jimmy_Yang_3,0.39101409912109375
24,Joe_List,0.419664204120636
25,Joe_List_2,0.451994389295578
26,Joe_List_3,0.4280542731285095
27,John_Mulaney,0.46779996156692505
28,John_Mulaney_2,0.32880544662475586
29,John_Mulaney_3,0.42906367778778076
30,Louis_CK,0.3448389768600464
31,Louis_CK_2,0.32272398471832275
32,Louis_CK_3,0.5840206146240234
33,Nate_Bargatze,0.43568211793899536
34,Nate_Bargatze_2,0.36752742528915405
35,Nate_Bargatze_3,0.4416072368621826
36,Nate_Bargatze_TK,0.3263847827911377
37,Nate_Bargatze_TK_2,0.41071221232414246
38,Nate_Bargatze_TK_3,0.5241907238960266
39,Russell_Peters,0.4101240634918213
40,Russell_Peters_2,0.3145331144332886
41,Russell_Peters_3,0.34052610397338867
42,Sam_Morill_3,0.35248321294784546
43,Sam_Morril,0.2623271346092224
44,Sam_Morril_2,0.327969491481781
45,Tom_Segura,0.44497549533843994
46,Tom_Segura_2,0.3736230731010437
47,Tom_Segura_3,0.4556503891944885
48,Trevor_Noah,0.5130946040153503
49,Trevor_Noah_2,0.4089391529560089
50,Trevor_Noah_3,0.4660602807998657
